typeURI;assetId.identificator;assetId.toegekendDoor;datumOprichtingObject;geometry;isActief;isPtz;merk;naam;opstelhoogte;toestand
https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Camera;069afa38-30d6-4e09-ace1-9ce761176ab0-b25kZXJkZWVsI0NhbWVyYQ;AWV;2020-01-01;POINT Z (100933.3 186077.7 0);True;True;bosch;CAMO4781;;in-gebruik
https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Camera;06a09a29-256c-4ad5-9bdc-7a082fd0faec-b25kZXJkZWVsI0NhbWVyYQ;AWV;2010-01-01;POINT Z (153389.4 208871.7 0);True;True;;CAMA0484;;in-gebruik
https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Camera;06e3a7f5-23f8-484f-b13e-499c8b7d745d-b25kZXJkZWVsI0NhbWVyYQ;AWV;2018-03-01;POINT Z (155757.2 212362.1 0);True;True;;CAMA0660;;in-gebruik
https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Camera;0715fc70-105a-468d-bfbd-00d0fc4474b8-b25kZXJkZWVsI0NhbWVyYQ;AWV;2010-01-01;POINT Z (154777.7 210119.5 0);True;False;;CAMA0039;;in-gebruik
https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Camera;0718bdfc-463c-4815-99a2-f10bbc0a089e-b25kZXJkZWVsI0NhbWVyYQ;AWV;;POINT Z (174301.8 174742.3 0);True;True;;CAMV6325;;in-gebruik
https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Camera;0725d164-ba0f-4845-a5c3-dc11b429256f-b25kZXJkZWVsI0NhbWVyYQ;AWV;;;True;True;;CAMV6415;;in-ontwerp
https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Camera;07454559-2b58-40d5-86ba-34b089f22317-b25kZXJkZWVsI0NhbWVyYQ;AWV;2016-09-05;POINT Z (151705.4 208231.7 0);True;True;bosch;CAMA0886;;in-gebruik
https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Camera;074c0afb-dca9-4606-8006-ca2d075ec5a9-b25kZXJkZWVsI0NhbWVyYQ;AWV;;;True;;;A10N22.9.REAR.CAM;;in-ontwerp
https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Camera;075ae7b4-3043-45d7-93cd-846f39dc4911-b25kZXJkZWVsI0NhbWVyYQ;AWV;;POINT Z (181001.1 183199.8 0);True;True;;CAMV6398;;in-ontwerp
https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Camera;076ebd46-fc7b-4c0a-8e42-3afd04eb3f99-b25kZXJkZWVsI0NhbWVyYQ;AWV;;POINT Z (191937.8 201253.8 0);True;False;;CAMA0465;;in-opbouw
https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Camera;0789374e-668c-465f-95ac-5187206c2c2b-b25kZXJkZWVsI0NhbWVyYQ;AWV;;;True;True;;CAMV6418;;in-ontwerp
https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Camera;07958e38-b72b-42be-b4f5-1e541709aa95-b25kZXJkZWVsI0NhbWVyYQ;AWV;2018-01-01;POINT Z (65888.5 171182 0);True;True;bosch;CAMW8748;;in-gebruik
https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Camera;0819a318-3652-42b8-857f-6fb327b1e454-b25kZXJkZWVsI0NhbWVyYQ;AWV;;POINT Z (159159.5 211295.4 0);True;False;;CAMA0342;;in-gebruik
https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Camera;0851326f-5da1-4af5-802c-5ac005eebdf0-b25kZXJkZWVsI0NhbWVyYQ;AWV;2014-03-25;POINT Z (152994.5 208870.3 0);True;True;;CAMA0485;;in-gebruik
https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Camera;085ed957-4b5e-43e8-a2cd-66ed866eea34-b25kZXJkZWVsI0NhbWVyYQ;AWV;2010-01-01;POINT Z (148753.93 213052.52 0);True;True;;;;in-gebruik
https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Camera;085f4266-0773-4211-9660-dcd4b5b52c17-b25kZXJkZWVsI0NhbWVyYQ;AWV;2014-01-13;POINT Z (202980.2 197650.4 0);True;True;;CAML2044;;in-gebruik
https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Camera;086eccb9-9b03-40c4-9226-8dfc338478c7-b25kZXJkZWVsI0NhbWVyYQ;AWV;;;True;True;;CAMV6414;;in-ontwerp
https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Camera;086f1f2c-b694-41e2-960f-45ed94b3677e-b25kZXJkZWVsI0NhbWVyYQ;AWV;2019-04-03;POINT Z (143309.3 173919.4 0);True;True;;CAMV6351;;in-gebruik
https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Camera;08b6b3bd-4a49-4402-acf9-0a905f619bd5-b25kZXJkZWVsI0NhbWVyYQ;AWV;;POINT Z (156568.1 217618.5 0);True;False;;CAMA0226;;in-gebruik
https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Camera;08c3131e-b857-4628-b73f-c99ce8702ebb-b25kZXJkZWVsI0NhbWVyYQ;AWV;2004-01-01;POINT Z (111738.9 209307.5 0);True;True;bosch;CAMO5025;;in-gebruik
